date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:19:46	42600/42600	---M--	200	added ('OK')	font/ttf	date:Mon,%2026%20Feb%202018%2007:00:30%20GMT	http://demo.highhay.com/simpleux/fonts/opensans/opensans-regular-webfont.ttf	C:/My%20Web%20Sites/LogoMart/demo.highhay.com/simpleux/fonts/opensans/opensans-regular-webfont.ttf	(from http://demo.highhay.com/simpleux/fonts/opensans/stylesheet.css)
09:19:47	17191/17191	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Mon,%2026%20Feb%202018%2007:00:30%20GMT	http://demo.highhay.com/simpleux/fonts/bebas/bebasneue_bold-webfont.eot	C:/My%20Web%20Sites/LogoMart/demo.highhay.com/simpleux/fonts/bebas/bebasneue_bold-webfont.eot	(from http://demo.highhay.com/simpleux/fonts/bebas/stylesheet.css)
09:19:49	57431/57431	---M--	200	added ('OK')	image/svg+xml	date:Mon,%2026%20Feb%202018%2007:00:30%20GMT	http://demo.highhay.com/simpleux/fonts/opensans/opensans-regular-webfont.svg	C:/My%20Web%20Sites/LogoMart/demo.highhay.com/simpleux/fonts/opensans/opensans-regular-webfont.svg	(from http://demo.highhay.com/simpleux/fonts/opensans/stylesheet.css)
09:19:50	19784/19784	---M--	200	added ('OK')	font/woff	date:Mon,%2026%20Feb%202018%2007:00:30%20GMT	http://demo.highhay.com/simpleux/fonts/bebas/bebasneue_bold-webfont.woff	C:/My%20Web%20Sites/LogoMart/demo.highhay.com/simpleux/fonts/bebas/bebasneue_bold-webfont.woff	(from http://demo.highhay.com/simpleux/fonts/bebas/stylesheet.css)
09:19:54	111878/111878	---M--	200	added ('OK')	image/svg+xml	date:Mon,%2026%20Feb%202018%2007:00:30%20GMT	http://demo.highhay.com/simpleux/fonts/bebas/bebasneue_bold-webfont.svg	C:/My%20Web%20Sites/LogoMart/demo.highhay.com/simpleux/fonts/bebas/bebasneue_bold-webfont.svg	(from http://demo.highhay.com/simpleux/fonts/bebas/stylesheet.css)
09:19:54	17191/17191	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Mon,%2026%20Feb%202018%2007:00:30%20GMT	http://demo.highhay.com/simpleux/fonts/bebas/bebasneue_bold-webfont.eot?	C:/My%20Web%20Sites/LogoMart/demo.highhay.com/simpleux/fonts/bebas/bebasneue_bold-webfontd41d.eot	(from http://demo.highhay.com/simpleux/fonts/bebas/stylesheet.css)
09:19:56	17755/17755	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Mon,%2026%20Feb%202018%2007:00:30%20GMT	http://demo.highhay.com/simpleux/fonts/bebas/bebasneue_book-webfont.eot	C:/My%20Web%20Sites/LogoMart/demo.highhay.com/simpleux/fonts/bebas/bebasneue_book-webfont.eot	(from http://demo.highhay.com/simpleux/fonts/bebas/stylesheet.css)
09:19:58	17755/17755	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Mon,%2026%20Feb%202018%2007:00:30%20GMT	http://demo.highhay.com/simpleux/fonts/bebas/bebasneue_book-webfont.eot?	C:/My%20Web%20Sites/LogoMart/demo.highhay.com/simpleux/fonts/bebas/bebasneue_book-webfontd41d.eot	(from http://demo.highhay.com/simpleux/fonts/bebas/stylesheet.css)
09:19:58	20352/20352	---M--	200	added ('OK')	font/woff	date:Mon,%2026%20Feb%202018%2007:00:30%20GMT	http://demo.highhay.com/simpleux/fonts/bebas/bebasneue_book-webfont.woff	C:/My%20Web%20Sites/LogoMart/demo.highhay.com/simpleux/fonts/bebas/bebasneue_book-webfont.woff	(from http://demo.highhay.com/simpleux/fonts/bebas/stylesheet.css)
09:19:58	48592/48592	---M--	200	added ('OK')	font/ttf	date:Mon,%2026%20Feb%202018%2007:00:30%20GMT	http://demo.highhay.com/simpleux/fonts/bebas/bebasneue_bold-webfont.ttf	C:/My%20Web%20Sites/LogoMart/demo.highhay.com/simpleux/fonts/bebas/bebasneue_bold-webfont.ttf	(from http://demo.highhay.com/simpleux/fonts/bebas/stylesheet.css)
